CASEID,cexabu,cexphys,cexsex,cex_070a,cex_070b,cex_070c,cex_080,mshsd,msper,msvic,agegr10,luc_rst,prv,region,sex
26158,1,1,1,6,6,6,1,813,609,609,1,1,"47",4,2
26159,1,1,1,6,6,6,1,994,994,994,3,1,"35",3,1
26160,3,2,1,2,2,1,1,813,995,813,5,1,"24",2,1
26161,1,1,1,6,6,6,1,994,994,994,4,2,"46",4,2
26162,1,1,1,6,6,6,1,994,994,994,3,1,"35",3,2
26163,8,8,8,6,6,6,8,995,995,995,5,1,"59",5,1
26164,1,1,1,6,6,6,1,994,994,994,5,1,"35",3,2
26165,1,1,1,6,6,6,1,994,994,994,6,1,"12",1,2
26166,3,2,1,2,2,1,1,994,994,994,7,2,"46",4,2
26167,3,2,1,2,2,1,1,994,994,994,6,2,"13",1,1
26168,1,1,1,6,6,6,1,405,994,405,2,1,"10",1,2
26169,3,2,1,2,2,1,1,994,994,994,1,1,"35",3,2
26170,1,1,1,6,6,6,1,994,994,994,1,1,"35",3,1
26171,3,2,7,7,7,7,7,994,994,994,5,1,"24",2,1
26172,1,1,1,6,6,6,1,994,994,994,3,1,"48",4,2
26173,1,1,1,6,6,6,1,994,994,994,2,1,"59",5,2
26174,1,1,1,6,6,6,1,994,994,994,1,1,"35",3,2
26175,1,1,1,6,6,6,1,994,994,994,4,1,"35",3,2
26176,2,2,2,2,2,1,1,994,994,994,4,3,"11",1,1
26177,1,1,1,6,6,6,1,994,994,994,4,1,"24",2,2
26178,3,1,2,2,2,1,1,994,994,994,5,1,"24",2,2
26179,1,1,1,6,6,6,1,994,994,994,2,1,"10",1,2
26180,1,1,1,6,6,6,1,994,994,994,1,1,"24",2,1
26181,1,1,1,6,6,6,1,994,994,994,7,1,"24",2,2
26182,1,1,1,6,6,6,1,994,994,994,3,1,"35",3,1
26183,1,1,1,6,6,6,1,994,994,994,4,1,"24",2,2
26184,3,2,1,2,2,1,1,994,994,994,4,1,"24",2,2
26185,1,1,1,6,6,6,1,994,994,994,3,1,"59",5,2
26186,2,2,2,1,2,2,1,994,994,994,3,1,"48",4,2
26187,3,2,1,2,2,1,1,994,994,994,5,1,"35",3,1
26188,3,2,1,2,2,1,1,994,994,994,3,1,"35",3,2
26189,1,1,1,6,6,6,1,711,609,609,3,1,"35",3,1
26190,1,1,1,6,6,6,1,994,994,994,1,1,"12",1,2
26191,1,1,1,6,6,6,1,994,994,994,5,3,"11",1,2
26192,2,2,2,2,2,1,8,994,994,994,4,1,"35",3,2
26193,1,1,1,6,6,6,1,994,994,994,2,1,"12",1,2
26194,1,1,1,6,6,6,1,994,994,994,7,2,"13",1,1
26195,1,1,1,6,6,6,1,994,994,994,2,2,"48",4,1
26196,3,2,1,2,2,1,1,994,994,994,5,1,"24",2,2
26197,3,2,1,2,2,1,3,995,995,995,4,3,"11",1,2
26198,1,1,1,6,6,6,1,994,609,609,5,1,"48",4,2
26199,1,1,1,6,6,6,2,994,609,609,2,2,"13",1,2
26200,3,2,1,2,2,1,1,994,994,994,1,1,"35",3,1
26201,1,1,1,6,6,6,1,994,994,994,2,1,"35",3,1
26202,2,2,2,2,2,1,5,711,203,203,5,1,"12",1,2
26203,1,1,1,6,6,6,1,994,994,994,1,1,"46",4,2
26204,1,1,1,6,6,6,1,994,994,994,4,1,"59",5,2
26205,1,1,1,6,6,6,1,994,994,994,7,2,"12",1,2
26206,3,2,1,2,2,1,1,813,994,813,5,1,"47",4,1
26207,1,1,1,6,6,6,1,994,994,994,3,2,"35",3,2
26208,1,1,1,6,6,6,1,994,994,994,6,1,"59",5,2
26209,1,1,1,6,6,6,1,994,994,994,7,1,"24",2,2
26210,3,2,1,2,2,1,1,994,994,994,1,1,"48",4,1
26211,2,2,2,2,2,1,1,994,994,994,4,1,"24",2,2
26212,1,1,1,6,6,6,1,994,994,994,3,1,"10",1,2
26213,1,1,1,6,6,6,1,994,994,994,2,1,"35",3,2
26214,3,2,1,2,2,1,1,994,994,994,4,1,"12",1,2
26215,7,7,1,6,6,6,7,994,994,994,7,1,"47",4,2
26216,7,7,1,6,6,6,1,994,994,994,3,1,"24",2,2
26217,1,1,1,6,6,6,1,994,994,994,3,1,"24",2,1
26218,3,2,1,2,2,1,2,994,609,609,3,1,"48",4,2
26219,2,2,2,2,2,1,4,994,994,994,4,1,"35",3,2
26220,1,1,1,6,6,6,1,711,994,711,4,1,"10",1,2
26221,1,1,1,6,6,6,2,994,994,994,3,1,"24",2,1
26222,1,1,1,6,6,6,1,994,994,994,1,1,"35",3,1
26223,3,2,1,2,2,1,1,994,994,994,5,1,"35",3,2
26224,1,1,1,6,6,6,1,994,994,994,2,1,"24",2,2
26225,1,1,1,6,6,6,1,509,994,509,7,1,"35",3,2
26226,3,1,2,2,1,2,1,994,609,609,3,1,"35",3,2
26227,1,1,1,6,6,6,1,994,994,994,4,1,"35",3,1
26228,1,1,1,6,6,6,1,994,994,994,4,1,"47",4,1
26229,1,1,1,6,6,6,1,994,994,994,7,1,"35",3,2
26230,1,1,1,6,6,6,1,994,994,994,6,2,"10",1,1
